Name,University,JoinYear,Rank,Subfield,,,,,,,,,,,,,,,,,,
Ryan Tibshirani,Carnegie Mellon University,2011,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Sara Kiesler,Carnegie Mellon University,,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Scott Hudson,Carnegie Mellon University,1997,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Seth Goldstein,Carnegie Mellon University,,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Seyoung Kim,Carnegie Mellon University,2011,Assistant,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Srinivasan Seshan,Carnegie Mellon University,2000,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Stephen Brookes,Carnegie Mellon University,,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Steve Collins,Carnegie Mellon University,2010,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Steven Dow,Carnegie Mellon University,2011,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Steven Rudich,Carnegie Mellon University,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Tai Sing Lee,Carnegie Mellon University,1996,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Takeo Kanade,Carnegie Mellon University,1980,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Todd Mowry,Carnegie Mellon University,1997,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Tom M. Mitchell,Carnegie Mellon University,1986,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Travis Breaux,Carnegie Mellon University,2010,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Tuomas Sandholm,Carnegie Mellon University,2001,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Umut Acar,Carnegie Mellon University,,Assistant,Programming Languages,,,,,,,,,,,,,,,,,,
Venkatesan Guruswami,Carnegie Mellon University,2008,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Vincent Aleven,Carnegie Mellon University,,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
William Cohen,Carnegie Mellon University,,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
William Scherlis,Carnegie Mellon University,,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Yiming Yang,Carnegie Mellon University,1996,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Yuvraj Agarwal,Carnegie Mellon University,2013,Assistant,Networks & Communications,,,,,,,,,,,,,,,,,,
Ziv Bar-Joseph,Carnegie Mellon University,,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Alfred V. Aho,Columbia University,1995,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Allison Bishop Lewko,Columbia University,2013,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Angelos Keromytis,Columbia University,2001,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Augustin Chaintreau,Columbia University,2010,Assistant,Networks & Communications,,,,,,,,,,,,,,,,,,
Changxi Zheng,Columbia University,2013,Assistant,Graphics,,,,,,,,,,,,,,,,,,
Clifford Stein,Columbia University,2001,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Dan Rubenstein,Columbia University,,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Dana Pe'er,Columbia University,,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Daniel J Hsu,Columbia University,2013,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
David S. Johnson,Columbia University,2014,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Eitan Grinspun,Columbia University,,Associate,Graphics,,,,,,,,,,,,,,,,,,
Feniosky Pena-Mora,Columbia University,2009,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Gail E. Kaiser,Columbia University,1985,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Henning Schulzrinne,Columbia University,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Henryk Wozniakowski,Columbia University,1984,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Itsik G Pe'er,Columbia University,2011,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Jason Nieh,Columbia University,1999,Full,Operating Systems,,,,,,,,,,,,,,,,,,
John R. Kender,Columbia University,,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Jonathan L. Gross,Columbia University,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Joseph F. Traub,Columbia University,1979,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Julia Hirschberg,Columbia University,2002,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Junfeng Yang,Columbia University,,Associate,Operating Systems,,,,,,,,,,,,,,,,,,
Kathleen McKeown,Columbia University,1982,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Kenneth Ross,Columbia University,1991,Full,Databases,,,,,,,,,,,,,,,,,,
Luca Carloni,Columbia University,2004,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Luis Gravano,Columbia University,1997,Full,Databases,,,,,,,,,,,,,,,,,,
Martha Kim,Columbia University,2008,Assistant,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Michael Collins,Columbia University,2011,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Mihalis Yannakakis,Columbia University,2004,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Peter K. Allen,Columbia University,,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Peter N. Belhumeur,Columbia University,2002,Full,Graphics,,,,,,,,,,,,,,,,,,
Rocco A. Servedio,Columbia University,,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Roxana Geambasu,Columbia University,2011,Assistant,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Salvatore J. Stolfo,Columbia University,1979,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Shih-Fu Chang,Columbia University,1993,Full,Multimedia,,,,,,,,,,,,,,,,,,
Shree K. Nayar,Columbia University,1991,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Simha Sethumadhavan,Columbia University,2008,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Stephen A. Edwards,Columbia University,2001,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Steven K. Feiner,Columbia University,1985,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Steven M. Bellovin,Columbia University,2005,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Steven Nowick,Columbia University,,Full,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Tal G. Malkin,Columbia University,2003,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Tony Jebara,Columbia University,2002,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Venkat Venkatasubramanian,Columbia University,2012,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Vishal Misra,Columbia University,2001,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Vladimir Vapnik,Columbia University,2003,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Xi Chen,Columbia University,2011,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Yechiam Yemini,Columbia University,,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Andrew Myers,Cornell University,1999,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
